loading_id,depot,product,customer,truck_id,volume_loaded_litres,meter_start,meter_end,loading_ts,meter_delta_litres,dispatch_id,volume_dispatched_litres,dispatch_ts,status,invoice_count,volume_invoiced_litres,invoiced_amount_kes,paid_amount_kes,collections_gap_kes,unit_price_kes,invoice_date,payment_lag_days,expected_revenue_kes,invoice_lag_days,dispatch_capture_gap_kes,shrinkage_litres,shrinkage_kes,billing_gap_kes,underbilling_litres,underbilling_kes,total_leakage_kes,collected_revenue_kes,late_invoice_flag,late_payment_flag,is_exception,leakage_category
LD000011,Mombasa,AGO,Aberdare Oil Traders,TRK-680,29000.0,2541666.0,2570669.9,2026-06-01 15:25:00,29003.899999999907,DS000010,28980.0,2026-06-01 18:13:00,Dispatched,1.0,28980.0,4566670.23,4566670.23,0.0,157.58,2026-06-08 18:13:00,60.0,4500800.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4566670.23,True,True,False,none
LD000012,Mombasa,AGO,Kilele Fuels,TRK-242,29800.0,4332779.6,4362574.1,2026-06-01 17:56:00,29794.5,DS000011,29602.0,2026-06-01 20:51:00,Dispatched,1.0,29602.0,4523222.41,4523222.41,0.0,152.8,2026-06-09 02:51:00,3.0,4624960.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4523222.41,True,False,False,none
LD000013,Nairobi,AGO,Pioneer Fuels Kenya,TRK-324,34500.0,2035119.9,2069613.6,2026-06-01 18:57:00,34493.700000000186,DS000012,34412.0,2026-06-01 21:42:00,Dispatched,1.0,34412.0,5261505.15,5261505.15,0.0,152.9,2026-06-05 00:42:00,1.0,5354400.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5261505.15,False,False,False,none
LD000014,Nairobi,PMS,Horizon Oil Marketers,TRK-263,28300.0,3186841.1,3215146.6,2026-06-01 06:55:00,28305.5,DS000013,28270.0,2026-06-01 08:17:00,Dispatched,1.0,28270.0,4719872.06,4719872.06,0.0,166.96,2026-06-02 09:17:00,21.0,4683650.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4719872.06,False,False,False,none
LD000015,Nairobi,PMS,Aberdare Oil Traders,TRK-981,23000.0,4878338.5,4901339.6,2026-06-01 19:33:00,23001.099999999627,DS000014,23012.0,2026-06-01 21:12:00,Dispatched,1.0,23012.0,3828695.26,3828695.26,0.0,166.38,2026-06-02 04:12:00,45.0,3806500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3828695.26,False,True,False,none
LD000016,Nairobi,AGO,Aberdare Oil Traders,TRK-448,34700.0,1353970.0,1388674.4,2026-06-01 22:48:00,34704.39999999991,DS000015,34831.0,2026-06-01 23:29:00,Dispatched,1.0,34831.0,5361068.95,5361068.95,0.0,153.92,2026-06-02 01:29:00,14.0,5385440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5361068.95,False,False,False,none
LD000017,Nairobi,PMS,Aberdare Oil Traders,TRK-880,23100.0,1180909.2,1204004.2,2026-06-01 19:00:00,23095.0,DS000016,23241.0,2026-06-01 21:53:00,Dispatched,1.0,23241.0,3795879.56,3795879.56,0.0,163.33,2026-06-05 00:53:00,14.0,3823050.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3795879.56,False,False,False,none
LD000018,Nairobi,AGO,Amani Petroleum,TRK-256,24300.0,4314950.0,4339242.1,2026-06-01 14:53:00,24292.099999999627,DS000017,24320.0,2026-06-01 15:32:00,Dispatched,1.0,24320.0,3765960.62,3765960.62,0.0,154.85,2026-06-01 15:32:00,21.0,3771359.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3765960.62,False,False,False,none
LD000019,Nairobi,AGO,Rift Valley Fuels Ltd,TRK-600,25700.0,2123738.0,2149432.3,2026-06-01 21:58:00,25694.299999999814,DS000018,25716.0,2026-06-01 23:56:00,Dispatched,1.0,25716.0,3923541.09,3923541.09,0.0,152.57,2026-06-05 04:56:00,3.0,3988639.9999999995,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3923541.09,False,False,False,none
LD000020,Nairobi,IK,Savannah Petroleum,TRK-680,32800.0,1298202.6,1331003.3,2026-06-01 14:15:00,32800.69999999995,DS000019,32752.0,2026-06-01 16:33:00,Dispatched,1.0,32752.0,4658603.18,4658603.18,0.0,142.24,2026-06-02 00:33:00,60.0,4592000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4658603.18,False,True,False,none
LD000021,Kisumu,AGO,Highland Energy Co,TRK-231,26800.0,2579526.1,2606329.3,2026-06-01 07:48:00,26803.19999999972,DS000020,26662.0,2026-06-01 08:20:00,Dispatched,1.0,26662.0,4106604.69,4106604.69,0.0,154.02,2026-06-01 09:20:00,7.0,4159359.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4106604.69,False,False,False,none
LD000022,Kisumu,IK,Amani Petroleum,TRK-533,32600.0,3423839.9,3456435.4,2026-06-01 10:16:00,32595.5,DS000021,32541.0,2026-06-01 10:53:00,Dispatched,1.0,32541.0,4563614.32,4563614.32,0.0,140.24,2026-06-03 10:53:00,14.0,4564000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4563614.32,False,False,False,none
LD000023,Kisumu,AGO,Zenith Petroleum,TRK-629,34800.0,3604308.1,3639103.6,2026-06-01 17:42:00,34795.5,DS000022,34779.0,2026-06-01 19:25:00,Dispatched,1.0,34779.0,5313841.13,5313841.13,0.0,152.79,2026-06-04 03:25:00,7.0,5400960.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5313841.13,False,False,False,none
LD000024,Kisumu,PMS,Rift Valley Fuels Ltd,TRK-335,25900.0,3675365.0,3701264.4,2026-06-01 07:21:00,25899.399999999907,DS000023,25976.0,2026-06-01 09:14:00,Dispatched,1.0,25976.0,4373815.92,4373815.92,0.0,168.38,2026-06-04 16:14:00,7.0,4286450.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4373815.92,False,False,False,none
LD000025,Kisumu,PMS,Lakeview Energy,TRK-980,30700.0,3365191.2,3395893.5,2026-06-01 06:14:00,30702.299999999814,DS000024,29311.0,2026-06-01 08:04:00,Dispatched,1.0,29311.0,4760524.25,4760524.25,0.0,162.41,2026-06-01 12:04:00,21.0,5080850.0,0.0,0.0,1389.0,229879.5,0.0,0.0,0.0,229879.5,4760524.25,False,False,True,shrinkage
LD000026,Kisumu,AGO,Delta Oil Marketers,TRK-235,26100.0,4886848.4,4912940.0,2026-06-01 13:42:00,26091.599999999627,DS000025,26141.0,2026-06-01 15:41:00,Dispatched,1.0,26141.0,4054202.93,4054202.93,0.0,155.09,2026-06-11 21:41:00,60.0,4050719.9999999995,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4054202.93,True,True,False,none
LD000027,Kisumu,PMS,Uhuru Energy Partners,TRK-199,33600.0,3886918.1,3920514.2,2026-06-01 20:51:00,33596.10000000009,,,,,,,,,0.0,,,,5560800.0,,5560800.0,0.0,0.0,0.0,0.0,0.0,5560800.0,0.0,False,False,True,dispatch_capture_gap
LD000028,Kisumu,PMS,Savannah Petroleum,TRK-761,20600.0,3842651.6,3863247.4,2026-06-01 18:29:00,20595.799999999814,DS000026,20561.0,2026-06-01 19:31:00,Dispatched,,,,,0.0,,,,3409300.0,,0.0,0.0,0.0,3402845.5,0.0,0.0,3402845.5,0.0,False,False,True,billing_gap
LD000029,Kisumu,PMS,Horizon Oil Marketers,TRK-294,21800.0,2757346.0,2779146.8,2026-06-01 15:51:00,21800.799999999814,DS000027,21929.0,2026-06-01 18:21:00,Dispatched,,,,,0.0,,,,3607900.0,,0.0,0.0,0.0,3629249.5,0.0,0.0,3629249.5,0.0,False,False,True,billing_gap
LD000030,Kisumu,PMS,Kilele Fuels,TRK-177,27600.0,3253102.3,3280701.7,2026-06-01 10:17:00,27599.400000000373,DS000028,27455.0,2026-06-01 12:45:00,Dispatched,1.0,27455.0,4564868.43,4564868.43,0.0,166.27,2026-06-02 15:45:00,14.0,4567800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4564868.43,False,False,False,none
LD000031,Kisumu,PMS,Rift Valley Fuels Ltd,TRK-871,31100.0,1557325.8,1588430.2,2026-06-01 22:53:00,31104.399999999907,DS000029,30894.0,2026-06-02 01:42:00,Dispatched,1.0,30894.0,5176764.24,5176764.24,0.0,167.57,2026-06-04 08:42:00,21.0,5147050.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5176764.24,False,False,False,none
LD000032,Kisumu,PMS,Summit Downstream Ltd,TRK-268,23200.0,4771414.3,4794625.7,2026-06-01 20:13:00,23211.400000000373,DS000030,23261.0,2026-06-01 22:05:00,Dispatched,1.0,23261.0,3809140.77,3809140.77,0.0,163.76,2026-06-02 03:05:00,1.0,3839600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3809140.77,False,False,False,none
LD000033,Eldoret,IK,Kilele Fuels,TRK-813,24600.0,1644885.1,1669489.7,2026-06-01 13:59:00,24604.59999999986,DS000031,24527.0,2026-06-01 15:57:00,Dispatched,1.0,24527.0,3477666.13,3477666.13,0.0,141.79,2026-06-04 16:57:00,30.0,3444000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3477666.13,False,False,False,none
LD000034,Eldoret,PMS,Savannah Petroleum,TRK-655,32900.0,1746280.2,1779181.8,2026-06-01 14:13:00,32901.60000000009,DS000032,32805.0,2026-06-01 16:51:00,Dispatched,1.0,32805.0,5536660.87,5536660.87,0.0,168.77,2026-06-02 23:51:00,3.0,5444950.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5536660.87,False,False,False,none
LD000035,Eldoret,PMS,Amani Petroleum,TRK-620,34300.0,3157369.0,3191665.5,2026-06-01 20:32:00,34296.5,DS000033,34401.0,2026-06-01 21:16:00,Dispatched,1.0,34401.0,5628651.69,5628651.69,0.0,163.62,2026-06-04 04:16:00,1.0,5676650.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5628651.69,False,False,False,none
LD000036,Eldoret,PMS,Nyanza Petroleum Co,TRK-683,23600.0,2708431.2,2732029.6,2026-06-01 07:43:00,23598.399999999907,DS000034,23565.0,2026-06-01 08:36:00,Dispatched,1.0,23565.0,3886705.77,3886705.77,0.0,164.94,2026-06-03 15:36:00,1.0,3905800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3886705.77,False,False,False,none
LD000037,Eldoret,AGO,Pioneer Fuels Kenya,TRK-423,33100.0,4442922.3,4476022.3,2026-06-01 18:42:00,33100.0,DS000035,33190.0,2026-06-01 20:45:00,Dispatched,1.0,33190.0,5114293.01,5114293.01,0.0,154.09,2026-06-01 21:45:00,14.0,5137120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5114293.01,False,False,False,none
LD000038,Eldoret,AGO,Aberdare Oil Traders,TRK-787,26700.0,1888431.2,1915130.0,2026-06-01 15:15:00,26698.800000000047,DS000036,26651.0,2026-06-01 18:00:00,Dispatched,1.0,26651.0,4212376.04,4212376.04,0.0,158.06,2026-06-03 19:00:00,60.0,4143839.9999999995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4212376.04,False,True,False,none
LD000039,Eldoret,AGO,Kilele Fuels,TRK-676,21900.0,2350460.7,2372359.9,2026-06-01 07:00:00,21899.19999999972,DS000037,21924.0,2026-06-01 09:28:00,Dispatched,1.0,21924.0,3368104.61,3368104.61,0.0,153.63,2026-06-01 09:28:00,14.0,3398879.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3368104.61,False,False,False,none
LD000040,Eldoret,AGO,Baraka Downstream,TRK-170,28300.0,3812075.8,3840377.8,2026-06-01 21:16:00,28302.0,DS000038,28257.0,2026-06-01 23:00:00,Dispatched,1.0,28257.0,4440161.82,4440161.82,0.0,157.13,2026-06-03 00:00:00,3.0,4392160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4440161.82,False,False,False,none
LD000041,Eldoret,PMS,Highland Energy Co,TRK-726,25800.0,4887128.3,4912918.7,2026-06-01 19:53:00,25790.400000000373,DS000039,25729.0,2026-06-01 22:28:00,Dispatched,1.0,25729.0,4268362.06,4268362.06,0.0,165.9,2026-06-03 23:28:00,3.0,4269900.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268362.06,False,False,False,none
LD000042,Eldoret,AGO,Horizon Oil Marketers,TRK-237,24600.0,1147547.8,1172147.7,2026-06-01 22:19:00,24599.899999999907,DS000040,24728.0,2026-06-01 23:44:00,Dispatched,1.0,24728.0,3798194.84,3798194.84,0.0,153.6,2026-06-03 03:44:00,7.0,3817919.9999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3798194.84,False,False,False,none
LD000043,Eldoret,AGO,Aberdare Oil Traders,TRK-315,29800.0,3010716.1,3040515.1,2026-06-01 22:09:00,29799.0,DS000041,29900.0,2026-06-01 23:40:00,Dispatched,1.0,29900.0,4595071.16,4595071.16,0.0,153.68,2026-06-02 04:40:00,1.0,4624960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4595071.16,False,False,False,none
LD000044,Eldoret,PMS,Delta Oil Marketers,TRK-966,22300.0,2957811.0,2980112.5,2026-06-01 13:32:00,22301.5,DS000042,22251.0,2026-06-01 14:11:00,Dispatched,1.0,22251.0,3625469.15,3625469.15,0.0,162.94,2026-06-04 14:11:00,7.0,3690650.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625469.15,False,False,False,none
LD000045,Nakuru,AGO,Rift Valley Fuels Ltd,TRK-233,23900.0,3688542.2,3712438.3,2026-06-01 13:02:00,23896.099999999627,DS000043,23887.0,2026-06-01 15:54:00,Dispatched,1.0,23887.0,3671714.68,3671714.68,0.0,153.71,2026-06-02 23:54:00,14.0,3709279.9999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3671714.68,False,False,False,none
LD000046,Nakuru,PMS,Uhuru Energy Partners,TRK-214,31700.0,2471132.5,2502836.4,2026-06-01 19:35:00,31703.899999999907,DS000044,30157.0,2026-06-01 20:55:00,Dispatched,1.0,30157.0,4950938.4,4950938.4,0.0,164.17,2026-06-03 01:55:00,60.0,5246350.0,1.0,0.0,1543.0,255366.5,0.0,0.0,0.0,255366.5,4950938.4,False,True,True,shrinkage
LD000047,Nakuru,AGO,Highland Energy Co,TRK-230,30100.0,3534118.8,3564214.4,2026-06-01 16:37:00,30095.600000000093,DS000045,30200.0,2026-06-01 17:23:00,Dispatched,1.0,30200.0,4642118.1,4642118.1,0.0,153.71,2026-06-02 01:23:00,7.0,4671520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4642118.1,False,False,False,none
LD000048,Nakuru,PMS,Zenith Petroleum,TRK-355,33400.0,2283120.3,2316520.7,2026-06-01 06:57:00,33400.40000000037,DS000046,33522.0,2026-06-01 08:21:00,Dispatched,1.0,33522.0,5518091.25,5518091.25,0.0,164.61,2026-06-03 10:21:00,3.0,5527700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5518091.25,False,False,False,none
LD000049,Nakuru,PMS,Uhuru Energy Partners,TRK-867,23000.0,1163100.6,1186109.1,2026-06-01 22:56:00,23008.5,DS000047,22970.0,2026-06-02 01:37:00,Dispatched,1.0,22970.0,3794854.93,3794854.93,0.0,165.209182847192,2026-06-04 03:37:00,30.0,3806500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3794854.93,False,False,False,none
LD000050,Nakuru,AGO,Uhuru Energy Partners,TRK-854,20300.0,3048372.2,3068676.6,2026-06-01 10:56:00,20304.399999999907,DS000048,20317.0,2026-06-01 13:28:00,Dispatched,1.0,20317.0,3158658.16,3158658.16,0.0,155.47,2026-06-02 14:28:00,21.0,3150560.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158658.16,False,False,False,none
LD000051,Nakuru,AGO,Tsavo Energy Group,TRK-210,23600.0,3580691.2,3604293.9,2026-06-01 12:17:00,23602.69999999972,DS000049,23610.0,2026-06-01 14:49:00,Dispatched,1.0,23610.0,3644787.23,3644787.23,0.0,154.37,2026-06-08 14:49:00,30.0,3662719.9999999995,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3644787.23,True,False,False,none
LD000052,Nakuru,AGO,Kilele Fuels,TRK-940,26200.0,4746920.0,4773115.4,2026-06-01 12:12:00,26195.400000000373,DS000050,25978.0,2026-06-01 14:23:00,Dispatched,1.0,25978.0,4098195.87,4098195.87,0.0,157.76,2026-06-01 22:23:00,3.0,4066239.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4098195.87,False,False,False,none
LD000053,Nakuru,PMS,Mara Fuels,TRK-171,22200.0,2364265.4,2386463.6,2026-06-01 11:25:00,22198.200000000186,DS000051,22107.0,2026-06-01 13:36:00,Dispatched,1.0,22107.0,3707650.73,3707650.73,0.0,167.71,2026-06-01 19:36:00,7.0,3674100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3707650.73,False,False,False,none
LD000054,Nakuru,AGO,Highland Energy Co,TRK-128,30600.0,4268888.8,4299491.6,2026-06-01 17:43:00,30602.799999999814,DS000052,30686.0,2026-06-01 20:03:00,Dispatched,1.0,30686.0,4792703.98,4792703.98,0.0,156.19,2026-06-02 04:03:00,60.0,4749120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4792703.98,False,True,False,none
LD000055,Nakuru,PMS,Horizon Oil Marketers,TRK-453,28900.0,3118602.3,3147500.7,2026-06-01 13:02:00,28898.400000000373,DS000053,28828.0,2026-06-01 15:59:00,Dispatched,1.0,28828.0,4851776.27,4851776.27,0.0,168.3,2026-06-01 15:59:00,3.0,4782950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4851776.27,False,False,False,none
LD000056,Kisii,PMS,Summit Downstream Ltd,TRK-294,34400.0,3532405.8,3566804.8,2026-06-01 21:07:00,34399.0,DS000054,34455.0,2026-06-01 23:53:00,Dispatched,1.0,34455.0,5663361.21,5663361.21,0.0,164.37,2026-06-03 02:53:00,14.0,5693200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5663361.21,False,False,False,none
LD000057,Kisii,AGO,Highland Energy Co,TRK-859,25400.0,2396838.3,2422240.9,2026-06-01 05:33:00,25402.600000000093,DS000055,25420.0,2026-06-01 08:19:00,Dispatched,1.0,25420.0,3924857.19,3924857.19,0.0,154.4,2026-06-01 16:19:00,3.0,3942079.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3924857.19,False,False,False,none
LD000058,Kisii,PMS,Mara Fuels,TRK-779,34200.0,4119502.2,4153703.7,2026-06-01 07:42:00,34201.5,DS000056,34325.0,2026-06-01 08:33:00,Dispatched,1.0,34325.0,5654644.72,5654644.72,0.0,164.74,2026-06-03 08:33:00,7.0,5660100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5654644.72,False,False,False,none
LD000059,Kisii,AGO,Summit Downstream Ltd,TRK-667,30300.0,1336559.9,1366861.4,2026-06-01 18:20:00,30301.5,DS000057,30176.0,2026-06-01 19:33:00,Dispatched,1.0,30176.0,4697816.51,4697816.51,0.0,155.68,2026-06-02 02:33:00,30.0,4702560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4697816.51,False,False,False,none
LD000060,Kisii,PMS,Tsavo Energy Group,TRK-408,20100.0,1643232.2,1663328.6,2026-06-01 17:43:00,20096.40000000014,DS000058,20124.0,2026-06-01 20:10:00,Dispatched,1.0,20124.0,3286000.41,3286000.41,0.0,163.29,2026-06-01 22:10:00,7.0,3326550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3286000.41,False,False,False,none
LD000061,Kisii,PMS,Pioneer Fuels Kenya,TRK-429,28800.0,3767580.8,3796374.8,2026-06-01 11:27:00,28794.0,DS000059,28794.0,2026-06-01 14:02:00,Dispatched,1.0,28794.0,4804952.63,4804952.63,0.0,166.87,2026-06-01 17:02:00,30.0,4766400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4804952.63,False,False,False,none
LD000062,Kisii,PMS,Delta Oil Marketers,TRK-915,31400.0,1948996.3,1980399.6,2026-06-01 11:32:00,31403.300000000047,DS000060,31326.0,2026-06-01 12:34:00,Dispatched,1.0,31326.0,5129102.55,5129102.55,0.0,163.73,2026-06-08 16:34:00,7.0,5196700.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5129102.55,True,False,False,none
LD000063,Kisii,AGO,Crescent Oil Ltd,TRK-938,25200.0,3985965.6,4011170.4,2026-06-01 14:32:00,25204.799999999814,DS000061,25140.0,2026-06-01 15:20:00,Dispatched,1.0,25140.0,3837366.14,3837366.14,0.0,152.64,2026-06-03 22:20:00,60.0,3911039.9999999995,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3837366.14,False,True,False,none
LD000064,Kisii,PMS,Rift Valley Fuels Ltd,TRK-586,30500.0,3273234.4,3303736.5,2026-06-01 11:09:00,30502.100000000093,DS000062,30521.0,2026-06-01 12:55:00,Dispatched,1.0,30521.0,5052576.83,5052576.83,0.0,165.54,2026-06-01 19:55:00,7.0,5047750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5052576.83,False,False,False,none
LD000065,Kisii,AGO,Summit Downstream Ltd,TRK-349,21500.0,2470863.2,2492358.8,2026-06-01 11:45:00,21495.599999999627,DS000063,21541.0,2026-06-01 14:13:00,Dispatched,1.0,21541.0,3347118.62,3347118.62,0.0,155.38,2026-06-01 14:13:00,1.0,3336799.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3347118.62,False,False,False,none
LD000066,Mombasa,AGO,Uhuru Energy Partners,TRK-923,35700.0,2946968.6,2982664.5,2026-06-02 08:49:00,35695.89999999991,DS000064,35707.0,2026-06-02 10:26:00,Dispatched,1.0,35707.0,5640244.54,5640244.54,0.0,157.96,2026-06-05 11:26:00,7.0,5540640.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5640244.54,False,False,False,none
LD000067,Mombasa,AGO,Baraka Downstream,TRK-783,34500.0,2737577.5,2772084.0,2026-06-02 08:29:00,34506.5,DS000065,34510.0,2026-06-02 09:51:00,Dispatched,1.0,34510.0,5307072.71,5307072.71,0.0,153.78,2026-06-02 10:51:00,21.0,5354400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5307072.71,False,False,False,none
LD000068,Mombasa,AGO,Highland Energy Co,TRK-262,30700.0,4456670.3,4487363.6,2026-06-02 21:27:00,30693.299999999814,DS000066,30654.0,2026-06-02 23:37:00,Dispatched,,,,,0.0,,,,4764640.0,,0.0,0.0,0.0,4757500.8,0.0,0.0,4757500.8,0.0,False,False,True,billing_gap
LD000069,Mombasa,PMS,Aberdare Oil Traders,TRK-633,23700.0,2996773.5,3020480.9,2026-06-02 12:53:00,23707.399999999907,DS000067,23669.0,2026-06-02 13:30:00,Dispatched,1.0,23669.0,3881246.64,3881246.64,0.0,163.98,2026-06-09 19:30:00,30.0,3922350.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3881246.64,True,False,False,none
