invoice_id,dispatch_id,customer,product,volume_invoiced_litres,unit_price_kes,amount_kes,invoice_date,currency
INV000049,DS000052,Highland Energy Co,AGO,30686,156.19,4792703.98,2026-06-02 04:03,KES
INV000050,DS000053,Horizon Oil Marketers,PMS,28828,168.30,4851776.27,2026-06-01 15:59,KES
INV000051,DS000054,Summit Downstream Ltd,PMS,34455,164.37,5663361.21,03/06/2026 02:53,KES
INV000052,DS000055,Highland Energy Co,AGO,25420,154.40,3924857.19,01/06/2026 16:19,KES
INV000053,DS000056,Mara Fuels,PMS,34325,164.74,"5,654,644.72",2026-06-03 08:33,KES
INV000054,DS000057,Summit Downstream Ltd,AGO,30176,155.68,4697816.51,2026-06-02 02:33,KES
INV000055,DS000058,Tsavo Energy Group,PMS,20124,163.29,3286000.41,2026-06-01 22:10,KES
INV000056,DS000059,Pioneer Fuels Kenya,PMS,28794,166.87,4804952.63,01/06/2026 17:02,KES
INV000057,DS000060,Delta Oil Marketers,PMS,31326,163.73,5129102.55,2026-06-08 16:34,KES
INV000058,DS000061,Crescent Oil Ltd,AGO,25140,152.64,3837366.14,2026-06-03 22:20,KES
INV000059,DS000062,Rift Valley Fuels Ltd,PMS,30521,165.54,5052576.83,01/06/2026 19:55,KES
INV000060,DS000063,Summit Downstream Ltd,AGO,21541,155.38,3347118.62,01/06/2026 14:13,KES
INV000061,DS000064,Uhuru Energy Partners,AGO,35707,157.96,5640244.54,2026-06-05 11:26,KES
INV000062,DS000065,Baraka Downstream,AGO,34510,153.78,5307072.71,2026-06-02 10:51,KES
INV000063,DS000067,Aberdare Oil Traders,PMS,23669,163.98,3881246.64,09/06/2026 19:30,KES
INV000064,DS000068,Coastline Energy Ltd,PMS,20651,163.87,3384035.25,03/06/2026 12:44,KES
INV000065,DS000069,Baraka Downstream,PMS,27457,163.46,4488018.72,02/06/2026 18:14,KES
INV000066,DS000070,Savannah Petroleum,PMS,35263,168.03,5925352.43,06/06/2026 02:01,KES
INV000067,DS000071,Rift Valley Fuels Ltd,AGO,28861,157.21,4537204.49,2026-06-02 20:53,KES
INV000068,DS000072,Crescent Oil Ltd,AGO,24207,152.71,3696668.22,03/06/2026 06:09,KES
INV000069,DS000073,Mara Fuels,PMS,25930,166.14,4307970.64,2026-06-04 11:29,KES
INV000070,DS000074,Highland Energy Co,AGO,24049,153.67,3695528.60,02/06/2026 15:26,KES
INV000071,DS000075,Kilele Fuels,AGO,31894,157.45,5021723.26,09/06/2026 18:28,KES
INV000072,DS000076,Summit Downstream Ltd,PMS,24575,163.04,4006646.00,05/06/2026 01:32,KES
INV000073,DS000077,Highland Energy Co,AGO,32913,153.43,5049771.34,05/06/2026 03:00,KES
INV000074,DS000078,Rift Valley Fuels Ltd,AGO,27884,152.42,4250061.70,2026-06-09 13:19,KES
INV000075,DS000079,Horizon Oil Marketers,PMS,30437,,5022946.54,2026-06-02 22:14,KES
INV000076,DS000080,Crescent Oil Ltd,AGO,25398,156.85,3983745.16,04/06/2026 14:31,KES
INV000077,DS000081,Rift Valley Fuels Ltd,IK,21470,140.37,3013682.45,02/06/2026 13:30,KES
INV000078,DS000082,Pioneer Fuels Kenya,IK,28608,137.30,3927933.26,2026-06-04 13:26,KES
INV000079,DS000083,Crescent Oil Ltd,AGO,29460,157.97,4653923.78,04/06/2026 21:06,KES
INV000080,DS000084,Amani Petroleum,AGO,28352,152.38,4320248.47,2026-06-02 18:44,KES
INV000081,DS000085,Kilele Fuels,PMS,23615,162.77,"3,843,837.98",2026-06-02 22:11,KES
INV000082,DS000086,Delta Oil Marketers,AGO,30290,156.62,"4,744,014.83",04/06/2026 02:38,KES
INV000083,DS000087,Kilele Fuels,AGO,35526,153.32,5446684.65,03/06/2026 14:01,KES
INV000084,DS000088,Delta Oil Marketers,PMS,24312,166.72,4053387.49,2026-06-04 01:17,KES
INV000085,DS000089,Rift Valley Fuels Ltd,PMS,21360,163.16,"3,485,135.95",09/06/2026 16:34,KES
INV000086,DS000090,Nyanza Petroleum Co,AGO,34528,157.75,5446934.95,04/06/2026 03:15,KES
INV000087,DS000091,Coastline Energy Ltd,PMS,23699,164.59,3900502.61,2026-06-03 13:21,KES
INV000088,DS000092,Highland Energy Co,AGO,30336,157.48,4777222.67,02/06/2026 22:36,KES
INV000089,DS000093,Coastline Energy Ltd,PMS,31821,168.31,5355879.12,2026-06-03 00:00,KES
INV000090,DS000094,Tsavo Energy Group,PMS,21887,164.68,"3,604,424.61",05/06/2026 04:03,KES
INV000091,DS000095,Coastline Energy Ltd,AGO,21519,152.26,3276584.00,2026-06-04 03:30,KES
INV000092,DS000096,Rift Valley Fuels Ltd,PMS,25456,166.89,4248402.91,02/06/2026 16:56,KES
INV000093,DS000097,Baraka Downstream,IK,30284,139.18,4214892.87,2026-06-04 02:11,KES
INV000094,DS000098,Lakeview Energy,IK,29803,138.52,4128331.88,04/06/2026 22:24,KES
INV000095,DS000099,Nyanza Petroleum Co,PMS,30676,165.32,5071299.66,03/06/2026 23:41,KES
INV000096,DS000100,Kilele Fuels,AGO,22156,158.02,3501148.00,2026-06-02 20:52,KES
INV000097,DS000101,Horizon Oil Marketers,AGO,33248,155.44,5168180.48,2026-06-03 15:51,KES
INV000098,DS000102,Nyanza Petroleum Co,PMS,23303,163.24,"3,804,087.52",2026-06-03 10:24,KES
INV000099,DS000104,Aberdare Oil Traders,PMS,21131,166.64,3521349.28,02/06/2026 16:58,KES
INV000100,DS000105,Baraka Downstream,PMS,21983,167.59,3684240.71,06/06/2026 06:40,KES
INV000101,DS000106,Pioneer Fuels Kenya,PMS,30188,165.06,"4,982,915.59",2026-06-02 20:58,KES
INV000102,DS000108,Aberdare Oil Traders,AGO,31977,152.73,"4,883,856.35",02/06/2026 20:01,KES
INV000103,DS000109,Savannah Petroleum,IK,25997,140.17,3643979.44,2026-06-03 17:58,KES
INV000104,DS000110,Uhuru Energy Partners,IK,25594,140.80,"3,603,624.53",02/06/2026 15:03,KES
INV000105,DS000111,Horizon Oil Marketers,PMS,32073,164.17,5265429.18,04/06/2026 19:45,KES
INV000106,DS000112,Highland Energy Co,PMS,21575,163.55,3528615.08,2026-06-04 18:25,KES
INV000107,DS000113,Amani Petroleum,PMS,25069,167.51,4199417.01,2026-06-03 22:12,KES
INV000108,DS000114,Zenith Petroleum,PMS,26162,168.20,4400467.06,03/06/2026 17:32,KES
INV000109,DS000115,Highland Energy Co,AGO,35088,155.75,5464894.68,02/06/2026 14:04,KES
INV000110,DS000116,Tsavo Energy Group,PMS,21587,166.56,3595563.94,2026-06-03 18:23,KES
INV000111,DS000117,Horizon Oil Marketers,PMS,35017,167.00,5847669.08,04/06/2026 18:07,KES
INV000112,DS000118,Delta Oil Marketers,AGO,21832,153.89,3359704.09,2026-06-04 16:02,KES
INV000113,DS000119,Baraka Downstream,PMS,35430,166.34,5893400.11,03/06/2026 07:12,KES
INV000114,DS000120,Rift Valley Fuels Ltd,IK,33352,,4755400.92,2026-06-04 03:06,KES
INV000115,DS000121,Delta Oil Marketers,AGO,23592,154.28,3639696.76,03/06/2026 03:40,KES
INV000116,DS000122,Equator Fuels,AGO,34356,157.48,"5,410,531.27",2026-06-03 20:47,KES
INV000117,DS000123,Mara Fuels,PMS,29277,164.41,4813565.09,05/06/2026 20:59,KES
INV000118,DS000124,Savannah Petroleum,IK,33983,139.56,4742703.85,2026-06-02 12:07,KES
INV000119,DS000125,Amani Petroleum,AGO,25601,158.22,4050593.08,2026-06-03 00:43,KES
INV000120,DS000126,Delta Oil Marketers,PMS,32325,164.21,5308213.87,02/06/2026 10:59,KES
INV000121,DS000127,Highland Energy Co,AGO,21901,154.56,3385021.15,03/06/2026 00:42,KES
INV000122,DS000128,Lakeview Energy,AGO,18928,152.60,2888392.74,2026-06-04 14:10,KES
INV000123,DS000129,Horizon Oil Marketers,AGO,31875,158.09,5039275.10,2026-06-03 01:19,KES
INV000124,DS000130,Zenith Petroleum,PMS,35242,167.11,5889150.38,02/06/2026 15:13,KES
INV000125,DS000131,Tsavo Energy Group,AGO,23579,155.71,"3,671,432.44",02/06/2026 14:57,KES
INV000126,DS000132,Coastline Energy Ltd,AGO,21260,154.00,3274001.81,2026-06-03 05:47,KES
INV000127,DS000133,Uhuru Energy Partners,IK,21265,,"2,945,149.84",2026-06-04 17:34,KES
INV000128,DS000134,Nyanza Petroleum Co,IK,36059,138.43,4991670.89,2026-06-05 06:34,KES
INV000129,DS000135,Rift Valley Fuels Ltd,PMS,26108,168.18,4390760.57,2026-06-04 20:30,KES
INV000130,DS000136,Nyanza Petroleum Co,AGO,21696,153.44,3329050.56,03/06/2026 19:29,KES
INV000131,DS000137,Horizon Oil Marketers,AGO,22594,156.02,3525040.96,2026-06-05 17:57,KES
INV000132,DS000137,Horizon Oil Marketers,AGO,22594,156.02,3525040.96,05/06/2026 18:57,KES
INV000133,DS000138,Zenith Petroleum,AGO,24378,155.12,3781399.85,03/06/2026 16:18,KES
INV000134,DS000139,Baraka Downstream,AGO,24167,153.33,"3,705,574.21",2026-06-03 13:24,KES
INV000135,DS000140,Delta Oil Marketers,AGO,24302,156.82,3811128.34,2026-06-10 21:29,KES
INV000136,DS000141,Nyanza Petroleum Co,AGO,21198,153.58,3255573.37,2026-06-04 11:16,KES
INV000137,DS000142,Aberdare Oil Traders,PMS,26508,167.95,4452148.81,03/06/2026 21:03,KES
INV000138,DS000143,Nyanza Petroleum Co,AGO,33817,154.51,5224905.82,2026-06-04 01:03,KES
INV000139,DS000144,Coastline Energy Ltd,AGO,33045,155.64,5143021.21,2026-06-04 03:04,KES
INV000140,DS000145,Horizon Oil Marketers,IK,22397,138.94,"3,111,900.77",03/06/2026 19:19,KES
INV000141,DS000146,Pioneer Fuels Kenya,AGO,33546,155.84,5227828.64,07/06/2026 07:32,KES
INV000142,DS000147,Savannah Petroleum,AGO,27565,156.61,4316842.61,2026-06-04 02:17,KES
INV000143,DS000148,Zenith Petroleum,IK,33717,139.62,4707730.31,03/06/2026 23:56,KES
INV000144,DS000149,Kilele Fuels,PMS,35944,163.99,"5,894,462.80",04/06/2026 19:43,KES
INV000145,DS000150,Pioneer Fuels Kenya,AGO,35085,156.65,5496191.58,03/06/2026 21:09,KES
INV000146,DS000151,Baraka Downstream,AGO,24056,155.38,3737858.65,10/06/2026 21:18,KES
INV000147,DS000152,Highland Energy Co,AGO,30678,154.20,4730461.18,2026-06-03 13:55,KES
INV000148,DS000153,Nyanza Petroleum Co,PMS,23744,165.08,"3,919,614.40",2026-06-03 19:38,KES
INV000149,DS000155,Amani Petroleum,AGO,33674,152.85,5147002.30,04/06/2026 19:09,KES
INV000150,DS000156,Delta Oil Marketers,AGO,29520,155.25,4582905.59,03/06/2026 09:48,KES
INV000151,DS000157,Lakeview Energy,AGO,26722,158.25,4228720.63,2026-06-04 02:40,KES
INV000152,DS000158,Mara Fuels,PMS,34346,167.95,5768344.43,04/06/2026 05:37,KES
INV000153,DS000159,Horizon Oil Marketers,AGO,35656,157.29,5608187.17,07/06/2026 01:41,KES
INV000154,DS000160,Mara Fuels,PMS,21531,,3627200.18,03/06/2026 22:12,KES
INV000155,DS000161,Aberdare Oil Traders,PMS,28875,162.42,4689812.59,2026-06-03 22:44,KES
INV000156,DS000162,Uhuru Energy Partners,PMS,28443,163.48,4649818.33,03/06/2026 16:43,KES
INV000157,DS000163,Mara Fuels,AGO,32675,153.88,"5,028,119.97",2026-06-04 03:35,KES
INV000158,DS000164,Crescent Oil Ltd,AGO,21154,156.35,3307368.88,03/06/2026 08:38,KES
INV000159,DS000165,Horizon Oil Marketers,PMS,29843,165.79,"4,947,534.98",04/06/2026 05:26,KES
INV000160,DS000167,Tsavo Energy Group,AGO,27462,154.78,4250574.68,2026-06-13 19:31,KES
INV000161,DS000168,Baraka Downstream,PMS,22940,168.61,3867850.10,2026-06-04 16:39,KES
INV000162,DS000171,Crescent Oil Ltd,AGO,25420,,"3,932,339.59",2026-06-03 13:18,KES
INV000163,DS000172,Kilele Fuels,AGO,28602,157.88,4515791.12,06/06/2026 23:04,KES
INV000164,DS000173,Pioneer Fuels Kenya,PMS,34206,163.14,5580347.83,2026-06-04 10:59,KES
INV000165,DS000174,Equator Fuels,PMS,21481,163.34,3508810.43,2026-06-06 12:51,KES
INV000166,DS000175,Delta Oil Marketers,PMS,30891,164.68,5087002.08,2026-06-03 17:36,KES
INV000167,DS000176,Highland Energy Co,AGO,20021,157.00,3143324.02,2026-06-03 21:32,KES
INV000168,DS000177,Rift Valley Fuels Ltd,PMS,21274,166.95,3551781.88,05/06/2026 15:21,KES
INV000169,DS000178,Horizon Oil Marketers,AGO,34864,155.60,5424927.60,2026-06-04 03:12,KES
INV000170,DS000179,Uhuru Energy Partners,AGO,32201,154.86,4986525.57,05/06/2026 19:57,KES
INV000171,DS000180,Coastline Energy Ltd,AGO,22528,157.21,3541631.74,2026-06-11 00:51,KES
INV000172,DS000181,Amani Petroleum,PMS,30981,162.60,5037611.43,2026-06-04 18:09,KES
INV000173,DS000182,Horizon Oil Marketers,AGO,26384,157.76,4162210.19,2026-06-04 14:07,KES
INV000174,DS000183,Delta Oil Marketers,AGO,31865,157.30,5012336.67,2026-06-03 11:03,KES
INV000175,DS000184,Mara Fuels,AGO,21391,155.64,3329192.59,2026-06-03 22:34,KES
INV000176,DS000185,Savannah Petroleum,AGO,34228,156.30,"5,350,007.31",04/06/2026 21:31,KES
INV000177,DS000186,Coastline Energy Ltd,AGO,28084,153.55,4312369.39,06/06/2026 13:11,KES
INV000178,DS000187,Savannah Petroleum,AGO,28577,156.47,"4,471,348.50",04/06/2026 06:16,KES
INV000179,DS000188,Baraka Downstream,PMS,22079,165.26,3648852.16,2026-06-04 00:40,KES
INV000180,DS000189,Tsavo Energy Group,IK,25670,137.99,3542190.06,03/06/2026 16:10,KES
INV000181,DS000190,Zenith Petroleum,AGO,35972,156.74,5638116.08,04/06/2026 19:52,KES
INV000182,DS000191,Mara Fuels,AGO,23672,153.51,3633879.75,2026-06-03 10:00,KES
INV000183,DS000192,Lakeview Energy,PMS,22692,,3745523.21,2026-06-03 18:06,KES
INV000184,DS000193,Crescent Oil Ltd,IK,24462,139.65,3416090.36,03/06/2026 21:02,KES
INV000185,DS000194,Baraka Downstream,AGO,35912,156.34,"5,614,427.37",2026-06-05 17:07,KES
INV000186,DS000195,Zenith Petroleum,AGO,26413,156.28,4127789.78,2026-06-04 04:15,KES
INV000187,DS000196,Nyanza Petroleum Co,PMS,24032,164.49,3953038.37,07/06/2026 03:57,KES
INV000188,DS000197,Highland Energy Co,AGO,30872,155.64,4805025.86,2026-06-03 11:46,KES
INV000189,DS000198,Summit Downstream Ltd,AGO,24420,156.14,3812963.27,03/06/2026 13:05,KES
INV000190,DS000199,Zenith Petroleum,AGO,35476,154.95,5496915.71,2026-06-05 10:28,KES
INV000191,DS000200,Highland Energy Co,AGO,28723,156.14,4484892.65,2026-06-04 20:06,KES
INV000192,DS000201,Coastline Energy Ltd,PMS,30561,163.40,4993796.24,04/06/2026 00:34,KES
INV000193,DS000202,Crescent Oil Ltd,IK,25130,142.46,3579964.41,06/06/2026 18:18,KES
INV000194,DS000203,Horizon Oil Marketers,AGO,25992,157.82,4101930.30,2026-06-06 00:40,KES
INV000195,DS000204,Kilele Fuels,PMS,23135,163.83,3790203.50,03/06/2026 13:39,KES
INV000196,DS000205,Kilele Fuels,IK,21248,137.51,"2,921,810.68",2026-06-03 14:28,KES
INV000197,DS000206,Mara Fuels,PMS,33497,168.71,5651119.48,05/06/2026 12:15,KES
INV000198,DS000207,Baraka Downstream,IK,35840,140.31,5028633.77,2026-06-06 02:43,KES
INV000199,DS000208,Equator Fuels,IK,26075,138.31,3606357.85,03/06/2026 11:02,KES
INV000200,DS000209,Coastline Energy Ltd,PMS,23111,166.61,3850415.97,2026-06-04 17:17,KES
INV000201,DS000210,Highland Energy Co,PMS,22677,168.37,3818205.32,05/06/2026 04:08,KES
INV000202,DS000211,Zenith Petroleum,PMS,25645,162.87,4176747.09,07/06/2026 15:51,KES
INV000203,DS000212,Amani Petroleum,AGO,26351,156.29,4118505.64,2026-06-04 21:27,KES
INV000204,DS000213,Summit Downstream Ltd,AGO,27404,157.01,4302611.98,04/06/2026 08:19,KES
INV000205,DS000214,Horizon Oil Marketers,AGO,32090,153.52,4926546.26,06/06/2026 00:25,KES
INV000206,DS000215,Tsavo Energy Group,PMS,26081,164.88,4300188.99,2026-06-06 02:36,KES
INV000207,DS000216,Kilele Fuels,AGO,34404,152.30,5239580.05,07/06/2026 17:37,KES
INV000208,DS000217,Coastline Energy Ltd,AGO,22160,156.14,3460153.91,2026-06-07 23:38,KES
INV000209,DS000218,Zenith Petroleum,PMS,29848,162.21,4841562.34,06/06/2026 16:24,KES
INV000210,DS000219,Summit Downstream Ltd,PMS,32198,166.09,5347629.89,06/06/2026 02:47,KES
INV000211,DS000220,Amani Petroleum,AGO,32507,156.97,5102775.32,06/06/2026 02:58,KES
INV000212,DS000221,Coastline Energy Ltd,PMS,27900,167.86,4683405.14,2026-06-05 12:14,KES
INV000213,DS000222,Kilele Fuels,PMS,21657,167.53,3628102.02,05/06/2026 00:05,KES
INV000214,DS000223,Summit Downstream Ltd,PMS,28783,168.42,4847513.94,2026-06-04 07:54,KES
INV000215,DS000224,Baraka Downstream,PMS,28696,165.70,4754865.43,2026-06-05 02:21,KES
INV000216,DS000225,Baraka Downstream,PMS,20177,162.72,"3,283,122.80",2026-06-05 16:16,KES
INV000217,DS000226,Zenith Petroleum,AGO,28959,154.33,"4,469,373.12",2026-06-05 11:50,KES
INV000218,DS000227,Tsavo Energy Group,IK,35196,142.11,"5,001,682.63",2026-06-07 08:21,KES
INV000219,DS000228,Crescent Oil Ltd,AGO,23731,156.17,3705992.85,2026-06-07 00:29,KES
INV000220,DS000229,Tsavo Energy Group,PMS,34593,164.61,5694451.74,06/06/2026 10:09,KES
INV000221,DS000230,Highland Energy Co,AGO,29695,155.53,4618564.28,04/06/2026 16:35,KES
INV000222,DS000231,Highland Energy Co,AGO,22413,156.59,3509664.92,11/06/2026 16:00,KES
INV000223,DS000232,Coastline Energy Ltd,AGO,31738,156.88,4979016.94,05/06/2026 07:48,KES
INV000224,DS000233,Pioneer Fuels Kenya,AGO,34759,156.63,5444327.80,05/06/2026 03:16,KES
INV000225,DS000234,Baraka Downstream,PMS,26425,164.04,4334792.90,05/06/2026 03:02,KES
INV000226,DS000235,Amani Petroleum,AGO,25516,156.36,3989685.23,05/06/2026 16:58,KES
INV000227,DS000236,Nyanza Petroleum Co,PMS,25508,165.93,4232634.65,2026-06-05 15:20,KES
INV000228,DS000237,Baraka Downstream,PMS,31732,167.27,5307882.74,06/06/2026 04:13,KES
INV000229,DS000238,Pioneer Fuels Kenya,AGO,22266,154.30,3435577.23,2026-06-07 20:37,KES
INV000230,DS000239,Rift Valley Fuels Ltd,AGO,28055,156.05,4378045.40,11/06/2026 10:28,KES
INV000231,DS000240,Rift Valley Fuels Ltd,AGO,29128,156.44,"4,556,789.16",07/06/2026 02:33,KES
INV000232,DS000241,Nyanza Petroleum Co,AGO,20137,152.54,3071687.70,04/06/2026 17:52,KES
INV000233,DS000242,Kilele Fuels,AGO,21414,155.27,3324922.12,06/06/2026 12:45,KES
INV000234,DS000243,Mara Fuels,AGO,27857,155.06,4319401.68,06/06/2026 18:25,KES
INV000235,DS000244,Highland Energy Co,PMS,23378,164.08,3835787.86,05/06/2026 00:01,KES
INV000236,DS000245,Horizon Oil Marketers,PMS,23267,164.02,3816306.49,2026-06-06 18:50,KES
INV000237,DS000246,Mara Fuels,PMS,29076,164.73,"4,789,742.28",2026-06-06 13:13,KES
INV000238,DS000247,Kilele Fuels,AGO,27280,152.98,4173364.35,2026-06-07 00:07,KES
INV000239,DS000248,Kilele Fuels,PMS,29103,166.73,4852364.58,2026-06-04 22:00,KES
INV000240,DS000249,Crescent Oil Ltd,PMS,22905,163.54,3745876.25,2026-06-05 17:02,KES
INV000241,DS000250,Horizon Oil Marketers,PMS,22560,164.98,3721892.23,07/06/2026 08:44,KES
INV000242,DS000251,Summit Downstream Ltd,AGO,26390,154.50,4077383.66,2026-06-04 20:37,KES
INV000243,DS000252,Amani Petroleum,AGO,30648,153.93,4717612.73,2026-06-05 09:35,KES
INV000244,DS000253,Zenith Petroleum,PMS,23571,164.80,"3,884,449.80",06/06/2026 15:04,KES
INV000245,DS000254,Amani Petroleum,AGO,23001,153.38,3527927.97,06/06/2026 17:04,KES
INV000246,DS000255,Delta Oil Marketers,PMS,19524,,"3,264,650.62",2026-06-04 18:14,KES
INV000247,DS000256,Summit Downstream Ltd,PMS,33015,167.60,5533445.74,2026-06-05 21:10,KES
INV000248,DS000257,Delta Oil Marketers,AGO,30744,157.06,4828676.93,06/06/2026 06:40,KES
INV000249,DS000258,Pioneer Fuels Kenya,PMS,20260,162.21,3286453.97,2026-06-05 15:12,KES
INV000250,DS000259,Pioneer Fuels Kenya,AGO,23393,155.16,3629706.48,2026-06-04 14:13,KES
INV000251,DS000260,Nyanza Petroleum Co,PMS,26606,162.62,"4,326,779.77",2026-06-05 20:19,KES
INV000252,DS000261,Baraka Downstream,PMS,31375,165.67,5197916.93,2026-06-07 00:52,KES
INV000253,DS000262,Baraka Downstream,AGO,29417,155.79,"4,582,835.06",2026-06-04 09:11,KES
INV000254,DS000263,Kilele Fuels,AGO,30039,152.50,4580877.20,2026-06-04 19:00,KES
INV000255,DS000264,Delta Oil Marketers,AGO,24774,154.09,3817532.22,2026-06-06 16:34,KES
INV000256,DS000265,Coastline Energy Ltd,PMS,32312,163.57,5285258.01,04/06/2026 18:39,KES
INV000257,DS000266,Aberdare Oil Traders,PMS,34233,162.53,5564033.15,2026-06-04 21:07,KES
INV000258,DS000268,Kilele Fuels,PMS,24103,165.68,3993374.44,05/06/2026 16:02,KES
INV000259,DS000269,Highland Energy Co,PMS,33376,168.81,"5,634,129.57",07/06/2026 07:16,KES
INV000260,DS000270,Nyanza Petroleum Co,PMS,24389,164.75,4018134.91,2026-06-06 04:47,KES
INV000261,DS000271,Highland Energy Co,PMS,34620,163.45,5658632.30,06/06/2026 09:49,KES
INV000262,DS000272,Coastline Energy Ltd,AGO,28848,,4490151.92,2026-06-08 16:52,KES
INV000263,DS000273,Savannah Petroleum,AGO,33388,157.02,5242640.03,05/06/2026 15:31,KES
INV000264,DS000273,Savannah Petroleum,AGO,33388,157.02,5242640.03,05/06/2026 16:31,KES
INV000265,DS000274,Summit Downstream Ltd,IK,30717,142.70,"4,383,388.38",05/06/2026 13:21,KES
INV000266,DS000275,Mara Fuels,PMS,34515,,5730429.26,2026-06-08 17:43,KES
