loading_id,depot,product,customer,truck_id,volume_loaded_litres,meter_start,meter_end,loading_ts
LD000049,Nakuru,PMS,Uhuru Energy Partners,TRK-867,23000,1163100.6,1186109.1,2026-06-01 22:56
LD000050,NAKURU,AGO,Uhuru Energy Partners,TRK-854,20300,3048372.2,3068676.6,01/06/2026 10:56
LD000051,NAKURU,AGO,Tsavo Energy Group,TRK-210,23600,3580691.2,3604293.9,2026-06-01 12:17
LD000052,Nakuru,AGO,Kilele Fuels,TRK-940,26200,4746920.0,4773115.4,2026-06-01 12:12
LD000053,NAKURU,PMS,Mara Fuels,TRK-171,22200,2364265.4,2386463.6,01/06/2026 11:25
LD000054,Nakuru,AGO,Highland Energy Co,TRK-128,30600,4268888.8,4299491.6,01/06/2026 17:43
LD000055,Nku,PMS,Horizon Oil Marketers,TRK-453,28900,3118602.3,3147500.7,01/06/2026 13:02
LD000056,KISII,PMS,Summit Downstream Ltd,TRK-294,34400,3532405.8,3566804.8,2026-06-01 21:07
LD000057, Kisii ,AGO,Highland Energy Co,TRK-859,25400,2396838.3,2422240.9,2026-06-01 05:33
LD000058,Kisii,PMS,Mara Fuels,TRK-779,34200,4119502.2,4153703.7,01/06/2026 07:42
LD000059,Kisii,AGO,Summit Downstream Ltd,TRK-667,30300,1336559.9,1366861.4,2026-06-01 18:20
LD000060,KISII,PMS,Tsavo Energy Group,TRK-408,20100,1643232.2,1663328.6,2026-06-01 17:43
LD000061,KISII,PMS,Pioneer Fuels Kenya,TRK-429,28800,3767580.8,3796374.8,01/06/2026 11:27
LD000062, Kisii ,PMS,Delta Oil Marketers,TRK-915,31400,1948996.3,1980399.6,2026-06-01 11:32
LD000063,Kisii,AGO,Crescent Oil Ltd,TRK-938,25200,3985965.6,4011170.4,01/06/2026 14:32
LD000064, Kisii ,PMS,Rift Valley Fuels Ltd,TRK-586,30500,3273234.4,3303736.5,2026-06-01 11:09
LD000065,Kisii,AGO,Summit Downstream Ltd,TRK-349,21500,2470863.2,2492358.8,2026-06-01 11:45
LD000066,Msa,AGO,Uhuru Energy Partners,TRK-923,35700,2946968.6,2982664.5,2026-06-02 08:49
LD000067,mombasa,AGO,Baraka Downstream,TRK-783,34500,2737577.5,2772084.0,02/06/2026 08:29
LD000068,Msa,AGO,Highland Energy Co,TRK-262,30700,4456670.3,4487363.6,02/06/2026 21:27
LD000069,Msa,PMS,Aberdare Oil Traders,TRK-633,23700,2996773.5,3020480.9,2026-06-02 12:53
LD000070,mombasa,PMS,Coastline Energy Ltd,TRK-443,20700,4978202.0,4998904.0,2026-06-02 07:45
LD000071,Msa,PMS,Baraka Downstream,TRK-165,27500,2118241.4,2145743.0,02/06/2026 12:24
LD000072,Msa,PMS,Savannah Petroleum,TRK-530,35200,2323001.2,2358203.7,2026-06-02 19:26
LD000073,Msa,AGO,Rift Valley Fuels Ltd,TRK-405,28800,3289169.9,3317965.2,02/06/2026 17:30
LD000074,MOMBASA,AGO,Crescent Oil Ltd,TRK-599,24300,2941119.5,2965416.5,02/06/2026 22:51
LD000075,Msa,PMS,Mara Fuels,TRK-917,26000,2578765.9,2604760.2,2026-06-02 05:24
LD000076,Mombasa,AGO,Highland Energy Co,TRK-503,24100,2181162.4,2205269.3,2026-06-02 09:39
LD000077,nrb,AGO,Kilele Fuels,TRK-366,31900,3788063.0,3819958.2,02/06/2026 09:55
LD000078,nrb,PMS,Summit Downstream Ltd,TRK-951,24700,4237444.6,4262151.5,02/06/2026 15:21
LD000079,NAIROBI,AGO,Highland Energy Co,TRK-458,33000,4468289.3,4501289.4,2026-06-02 20:01
LD000080,Nairobi,AGO,Rift Valley Fuels Ltd,TRK-304,28000,4193180.7,4221185.1,2026-06-02 06:48
LD000081,nrb,PMS,Horizon Oil Marketers,TRK-323,30400,3807867.5,3838268.7,02/06/2026 20:42
LD000082,Nairobi,AGO,Crescent Oil Ltd,TRK-835,25400,2502331.8,2527732.7,2026-06-02 10:38
LD000083,nrb,IK,Rift Valley Fuels Ltd,TRK-689,21500,3313120.6,3334620.4,02/06/2026 08:37
LD000084,NAIROBI,IK,Pioneer Fuels Kenya,TRK-742,28700,2146165.0,2174862.3,2026-06-02 11:04
LD000085,Nairobi,AGO,Crescent Oil Ltd,TRK-915,29500,1122001.0,1151496.5,02/06/2026 14:54
LD000086,nrb,AGO,Amani Petroleum,TRK-112,28400,4079974.2,4108372.5,02/06/2026 16:04
LD000087,NAIROBI,PMS,Kilele Fuels,TRK-545,23500,3491561.9,3515073.8,02/06/2026 16:40
LD000088,Nairobi Depot,AGO,Delta Oil Marketers,TRK-945,30200,3904365.3,3934574.5,02/06/2026 22:49
LD000089,nrb,AGO,Kilele Fuels,TRK-575,35600,3065201.4,3100806.6,02/06/2026 07:17
LD000090,Nairobi Depot,PMS,Delta Oil Marketers,TRK-916,24300,2755885.7,2780182.6,02/06/2026 15:11
LD000091,Nairobi,PMS,Rift Valley Fuels Ltd,TRK-295,21300,1101403.0,1122699.1,2026-06-02 13:35
LD000092,Ksm,AGO,Nyanza Petroleum Co,TRK-761,34600,2769408.9,2804017.2,02/06/2026 20:35
LD000093,Kisumu,PMS,Coastline Energy Ltd,TRK-808,23800,1375493.2,1399294.6,02/06/2026 05:05
LD000094,Ksm,AGO,Highland Energy Co,TRK-535,30500,2742691.6,2773202.8,02/06/2026 16:30
LD000095,Ksm,PMS,Coastline Energy Ltd,TRK-223,31700,1190864.5,1222558.6,2026-06-02 19:17
LD000096,KISUMU,PMS,Tsavo Energy Group,TRK-856,21900,2367518.7,2389419.8,02/06/2026 22:48
LD000097,Kisumu,AGO,Coastline Energy Ltd,TRK-952,21500,1376628.0,1398131.5,02/06/2026 21:38
LD000098,KISUMU,PMS,Rift Valley Fuels Ltd,TRK-229,25500,2858695.3,2884198.3,2026-06-02 10:19
LD000099,KISUMU,IK,Baraka Downstream,TRK-870,30400,1192235.7,1222635.7,2026-06-02 22:18
LD000100,Kisumu,AGO,Delta Oil Marketers,TRK-288,28600,3735855.1,3764458.9,02/06/2026 14:30
LD000101,Ksm,IK,Lakeview Energy,TRK-175,29900,4775566.4,4805472.3,2026-06-02 20:07
LD000102,KISUMU,PMS,Nyanza Petroleum Co,TRK-882,30800,3293468.2,3324270.9,2026-06-02 14:05
LD000103,KISUMU,AGO,Kilele Fuels,TRK-702,22100,4244816.7,4266918.9,02/06/2026 17:28
LD000104,Ksm,AGO,Horizon Oil Marketers,TRK-312,33100,3605939.1,3639044.8,2026-06-02 06:39
LD000105,Kisumu,PMS,Nyanza Petroleum Co,TRK-176,23300,2095844.5,2119141.8,2026-06-02 07:10
LD000106,KISUMU,PMS,Savannah Petroleum,TRK-823,20600,3473015.5,3493609.2,02/06/2026 20:18
LD000107,Eld,PMS,Aberdare Oil Traders,TRK-740,21100,2275902.5,2296999.6,2026-06-02 12:59
LD000108,Eldoret,PMS,Baraka Downstream,TRK-946,21900,3786948.7,3808852.9,2026-06-02 22:14
LD000109,Eldoret,PMS,Pioneer Fuels Kenya,TRK-549,30100,4509888.1,4539992.2,02/06/2026 14:38
LD000110,Eldoret,AGO,Amani Petroleum,TRK-548,24500,1709758.2,1734261.3,2026-06-02 17:17
LD000111,Eld,AGO,Aberdare Oil Traders,TRK-334,32000,4227339.0,4259338.9,2026-06-02 15:38
LD000112,ELDORET,IK,Savannah Petroleum,TRK-279,26000,4105651.8,4131652.4,02/06/2026 13:36
LD000113,Eldoret,IK,Uhuru Energy Partners,TRK-603,25500,4723029.3,4748528.2,02/06/2026 10:37
LD000114,ELDORET,PMS,Horizon Oil Marketers,TRK-437,32000,4018171.5,4050177.0,02/06/2026 15:20
LD000115,ELDORET,PMS,Highland Energy Co,TRK-190,21600,4610211.6,4631818.1,02/06/2026 17:52
LD000116,Eld,PMS,Amani Petroleum,TRK-101,25100,4582092.9,4607193.0,02/06/2026 17:55
LD000117,Eld,PMS,Zenith Petroleum,TRK-610,26200,1043350.6,1069552.2,02/06/2026 11:33
LD000118,ELDORET,AGO,Highland Energy Co,TRK-394,35200,3293751.6,3328950.9,02/06/2026 11:17
LD000119,Nku,PMS,Tsavo Energy Group,TRK-114,21500,3409763.7,3431256.5,02/06/2026 12:45
LD000120,NAKURU,PMS,Horizon Oil Marketers,TRK-257,35100,4125184.2,4160285.5,02/06/2026 08:29
LD000121,NAKURU,AGO,Delta Oil Marketers,TRK-349,21800,4723716.4,4745525.5,2026-06-02 13:26
LD000122,NAKURU,PMS,Baraka Downstream,TRK-382,35500,3752120.0,3787622.0,02/06/2026 21:47
LD000123,Nku,IK,Rift Valley Fuels Ltd,TRK-405,33400,4467474.8,4500873.5,02/06/2026 21:17
LD000124,Nku,AGO,Delta Oil Marketers,TRK-665,23600,2586606.4,2610212.3,02/06/2026 19:34
LD000125,Nku,AGO,Equator Fuels,TRK-344,34300,1586419.3,1620711.4,02/06/2026 15:55
LD000126,NAKURU,PMS,Mara Fuels,TRK-822,29300,4452554.1,4481854.5,02/06/2026 18:02
LD000127,NAKURU,IK,Savannah Petroleum,TRK-704,34100,1946740.8,1980841.7,2026-06-02 09:31
LD000128,Nku,AGO,Amani Petroleum,TRK-115,25600,3832724.8,3858328.9,2026-06-02 19:06
LD000129,KISII,PMS,Delta Oil Marketers,TRK-371,32400,3233617.0,3266021.3,02/06/2026 09:04
LD000130, Kisii ,AGO,Highland Energy Co,TRK-424,21800,2970500.4,2992299.6,02/06/2026 15:54
LD000131,KISII,AGO,Lakeview Energy,TRK-800,20200,2874642.6,2894844.2,2026-06-02 06:39
LD000132,KISII,AGO,Horizon Oil Marketers,TRK-810,31900,3333475.1,3365371.0,2026-06-02 18:06
LD000133,Kisii,PMS,Zenith Petroleum,TRK-249,35400,2499482.3,2534885.8,02/06/2026 06:18
LD000134,KISII,AGO,Tsavo Energy Group,TRK-991,23600,4852890.2,4876488.2,2026-06-02 10:10
LD000135,KISII,AGO,Kilele Fuels,TRK-570,20200,4879515.3,4899716.4,2026-06-02 09:14
LD000136,Kisii,AGO,Coastline Energy Ltd,TRK-261,21200,3215417.1,3236617.2,02/06/2026 19:57
LD000137,mombasa,IK,Uhuru Energy Partners,TRK-567,21200,1664861.7,1686058.2,2026-06-03 14:40
LD000138,mombasa,IK,Nyanza Petroleum Co,TRK-467,35900,3787700.2,3823595.4,03/06/2026 20:06
LD000139,Mombasa,PMS,Rift Valley Fuels Ltd,TRK-802,26100,3948402.8,3974502.1,03/06/2026 17:17
LD000140,MOMBASA,AGO,Nyanza Petroleum Co,TRK-460,21700,2342640.3,2364337.3,2026-06-03 14:49
LD000141,Mombasa,AGO,Horizon Oil Marketers,TRK-761,22700,3587393.4,3610086.6,03/06/2026 09:40
LD000142,mombasa,AGO,Zenith Petroleum,TRK-192,24300,2441380.4,2465677.6,03/06/2026 06:37
LD000143,mombasa,AGO,Baraka Downstream,TRK-997,24200,2812963.4,2837172.0,03/06/2026 10:12
LD000144,mombasa,AGO,Delta Oil Marketers,TRK-402,24300,1532740.5,1557033.0,2026-06-03 13:58
LD000145,Msa,AGO,Nyanza Petroleum Co,TRK-841,21200,4762127.3,4783335.7,03/06/2026 07:09
LD000146,Nairobi Depot,PMS,Aberdare Oil Traders,TRK-565,26700,4730913.9,4757605.2,03/06/2026 17:00
LD000147,Nairobi Depot,AGO,Nyanza Petroleum Co,TRK-734,33900,1180874.7,1214774.3,2026-06-03 16:06
LD000148,NAIROBI,AGO,Coastline Energy Ltd,TRK-219,33000,4949104.5,4982103.1,2026-06-03 19:58
LD000149,NAIROBI,IK,Horizon Oil Marketers,TRK-650,22400,3376522.9,3398924.6,03/06/2026 14:31
LD000150,nrb,AGO,Pioneer Fuels Kenya,TRK-258,33500,4353314.8,4386814.4,2026-06-03 22:26
LD000151,nrb,AGO,Savannah Petroleum,TRK-322,27500,2659278.0,2686777.5,03/06/2026 18:17
LD000152,Nairobi Depot,IK,Zenith Petroleum,TRK-760,33800,4251604.0,4285403.7,2026-06-03 16:06
LD000153,Nairobi,PMS,Kilele Fuels,TRK-317,36000,4986547.3,5022554.9,2026-06-03 11:07
LD000154,NAIROBI,AGO,Pioneer Fuels Kenya,TRK-949,35100,4398589.6,4433691.2,2026-06-03 12:08
LD000155,Nairobi,AGO,Baraka Downstream,TRK-710,24000,2802176.5,2826169.7,03/06/2026 12:21
LD000156,Nairobi,AGO,Highland Energy Co,TRK-278,30700,3472513.0,3503215.7,2026-06-03 09:08
LD000157,NAIROBI,PMS,Nyanza Petroleum Co,TRK-116,25700,1454230.4,1479931.6,03/06/2026 16:50
LD000158,nrb,PMS,Horizon Oil Marketers,TRK-587,32400,3080654.0,3113064.2,03/06/2026 18:33
LD000159,Nairobi,AGO,Amani Petroleum,TRK-729,33600,3207627.4,3241232.5,03/06/2026 08:28
LD000160,Ksm,AGO,Delta Oil Marketers,TRK-536,29400,2920183.9,2949584.7,2026-06-03 05:03
LD000161,Kisumu,AGO,Lakeview Energy,TRK-251,26700,4138673.1,4165378.8,2026-06-03 19:04
LD000162,Ksm,PMS,Mara Fuels,TRK-711,34500,3469054.8,3503557.4,03/06/2026 22:45
LD000163,Ksm,AGO,Horizon Oil Marketers,TRK-766,35700,3432351.4,3468055.5,2026-06-03 18:06
LD000164,KISUMU,PMS,Mara Fuels,TRK-508,21500,3905588.1,3927098.4,2026-06-03 12:26
LD000165,Ksm,PMS,Aberdare Oil Traders,TRK-256,28800,2803641.8,2832440.5,03/06/2026 15:42
LD000166,KISUMU,PMS,Uhuru Energy Partners,TRK-856,28400,3790567.5,3818970.2,2026-06-03 07:05
LD000167,KISUMU,AGO,Mara Fuels,TRK-520,32700,2837387.2,2870089.5,03/06/2026 22:35
LD000168,Ksm,AGO,Crescent Oil Ltd,TRK-206,21100,1183445.1,1204548.0,2026-06-03 06:18
LD000169,KISUMU,PMS,Horizon Oil Marketers,TRK-669,29900,2389653.6,2419555.5,2026-06-03 20:14
LD000170,Ksm,AGO,Uhuru Energy Partners,TRK-885,25500,3149053.7,3174546.8,2026-06-03 12:51
LD000171,KISUMU,AGO,Tsavo Energy Group,TRK-880,27400,3339064.4,3366472.5,03/06/2026 13:01
LD000172,Kisumu,PMS,Baraka Downstream,TRK-510,22900,3786005.9,3808901.8,2026-06-03 10:55
LD000173,KISUMU,AGO,Amani Petroleum,TRK-529,26600,4497270.4,4523872.7,03/06/2026 05:05
LD000174,Eld,PMS,Mara Fuels,TRK-681,23600,4287162.5,4310762.6,2026-06-03 14:46
LD000175,ELDORET,AGO,Crescent Oil Ltd,TRK-183,25500,2390476.9,2415977.2,03/06/2026 09:10
LD000176,Eld,AGO,Kilele Fuels,TRK-320,28600,2423965.9,2452563.5,2026-06-03 20:38
LD000177,ELDORET,PMS,Pioneer Fuels Kenya,TRK-783,34300,1514993.6,1549287.5,2026-06-03 08:18
LD000178,Eldoret,PMS,Equator Fuels,TRK-316,21500,2924581.6,2946075.8,03/06/2026 06:00
LD000179,Eldoret,PMS,Delta Oil Marketers,TRK-279,31000,3046628.1,3077626.2,03/06/2026 08:00
LD000180,ELDORET,AGO,Highland Energy Co,TRK-925,20000,4473204.4,4493199.1,2026-06-03 12:32
LD000181,ELDORET,PMS,Rift Valley Fuels Ltd,TRK-179,21400,3389112.3,3410512.4,03/06/2026 06:27
LD000182,Eldoret,AGO,Horizon Oil Marketers,TRK-432,34800,1944466.1,1979267.7,03/06/2026 18:18
LD000183,ELDORET,AGO,Uhuru Energy Partners,TRK-349,32200,3125063.0,3157261.7,03/06/2026 16:05
LD000184,ELDORET,AGO,Coastline Energy Ltd,TRK-326,22400,1532467.7,1554868.3,2026-06-03 17:55
LD000185,ELDORET,PMS,Amani Petroleum,TRK-894,31000,4377762.7,4408760.9,03/06/2026 08:33
LD000186,Eldoret,AGO,Horizon Oil Marketers,TRK-302,26400,1419476.7,1445881.2,2026-06-03 09:15
LD000187,Eld,AGO,Delta Oil Marketers,TRK-677,31800,1729135.5,1760941.4,03/06/2026 07:11
LD000188,ELDORET,AGO,Mara Fuels,TRK-169,21400,3141342.3,3162743.4,03/06/2026 15:55
LD000189,NAKURU,AGO,Savannah Petroleum,TRK-175,34200,3374369.8,3408575.1,03/06/2026 13:37
LD000190,Nakuru,AGO,Coastline Energy Ltd,TRK-984,28000,1347681.2,1375684.5,03/06/2026 06:23
LD000191,Nku,AGO,Savannah Petroleum,TRK-929,28600,3347364.5,3375962.3,2026-06-03 22:50
LD000192,Nakuru,PMS,Baraka Downstream,TRK-561,22000,2135103.6,2157111.5,03/06/2026 20:32
LD000193,NAKURU,IK,Tsavo Energy Group,TRK-824,25800,3583669.0,3609459.4,03/06/2026 07:32
LD000194,NAKURU,AGO,Zenith Petroleum,TRK-496,35800,3423099.3,3458904.0,03/06/2026 10:23
LD000195,Nku,AGO,Mara Fuels,TRK-196,23800,1407129.9,1430927.6,03/06/2026 06:50
LD000196,NAKURU,PMS,Lakeview Energy,TRK-244,22600,1746268.1,1768865.0,03/06/2026 09:21
LD000197,NAKURU,IK,Crescent Oil Ltd,TRK-186,24600,1693494.4,1718081.9,03/06/2026 17:08
LD000198,Nku,AGO,Baraka Downstream,TRK-948,35700,1448155.6,1483859.0,2026-06-03 15:52
LD000199,Nakuru,AGO,Zenith Petroleum,TRK-416,26400,4877881.7,4904282.9,2026-06-03 18:32
LD000200,Nakuru,PMS,Nyanza Petroleum Co,TRK-258,24100,1683550.3,1707651.7,03/06/2026 20:12
LD000201,Nakuru,AGO,Highland Energy Co,TRK-639,30700,4717504.0,4748214.2,03/06/2026 08:32
LD000202,Nku,AGO,Summit Downstream Ltd,TRK-285,24500,4077971.7,4102479.8,2026-06-03 09:38
LD000203,KISII,AGO,Zenith Petroleum,TRK-343,35500,3843809.9,3879313.1,03/06/2026 06:26
LD000204,KISII,AGO,Highland Energy Co,TRK-928,28500,3828920.4,3857416.3,2026-06-03 19:14
LD000205, Kisii ,PMS,Coastline Energy Ltd,TRK-614,32300,1349160.7,1381464.5,03/06/2026 19:29
LD000206,Kisii,IK,Crescent Oil Ltd,TRK-356,25100,3375532.4,3400632.5,03/06/2026 11:51
LD000207,Kisii,AGO,Horizon Oil Marketers,TRK-628,25900,2817071.9,2842981.9,03/06/2026 22:59
LD000208,KISII,PMS,Kilele Fuels,TRK-250,23200,3738286.2,3761496.1,2026-06-03 10:17
LD000209,KISII,IK,Kilele Fuels,TRK-127,21400,1555299.1,1576711.0,2026-06-03 12:52
LD000210,Kisii,PMS,Summit Downstream Ltd,TRK-483,32700,1426797.0,1459494.0,2026-06-03 16:15
LD000211,Kisii,PMS,Mara Fuels,TRK-240,33600,3983898.1,4017501.5,03/06/2026 08:53
LD000212,KISII,IK,Baraka Downstream,TRK-580,35900,1820007.2,1855906.5,2026-06-03 20:44
LD000213, Kisii ,IK,Equator Fuels,TRK-661,26100,4705797.7,4731900.6,03/06/2026 05:16
LD000214,Msa,PMS,Coastline Energy Ltd,TRK-344,23200,1654623.8,1677826.3,04/06/2026 14:15
LD000215,MOMBASA,PMS,Highland Energy Co,TRK-627,22600,4258298.9,4280900.3,2026-06-04 20:38
LD000216,MOMBASA,PMS,Zenith Petroleum,TRK-526,25700,4508802.2,4534512.6,2026-06-04 05:39
LD000217,Mombasa,AGO,Amani Petroleum,TRK-905,26300,4266397.8,4292687.6,04/06/2026 16:04
LD000218,Mombasa,AGO,Summit Downstream Ltd,TRK-359,27400,2205511.5,2232906.5,04/06/2026 06:40
LD000219,mombasa,AGO,Horizon Oil Marketers,TRK-852,32000,3010881.6,3042883.2,2026-06-04 16:15
LD000220,Msa,PMS,Tsavo Energy Group,TRK-801,26100,3174211.4,3200310.3,04/06/2026 22:21
LD000221,Mombasa,AGO,Kilele Fuels,TRK-306,34500,3496952.0,3531444.6,2026-06-04 09:04
LD000222,Msa,AGO,Coastline Energy Ltd,TRK-934,22200,4176100.8,4198306.5,04/06/2026 15:59
LD000223,mombasa,PMS,Zenith Petroleum,TRK-148,29900,3133844.4,3163745.3,04/06/2026 11:18
LD000224,Nairobi Depot,PMS,Summit Downstream Ltd,TRK-495,32000,3827921.8,3859923.0,2026-06-04 16:27
LD000225,nrb,AGO,Amani Petroleum,TRK-184,32500,1572511.9,1605015.2,2026-06-04 20:23
LD000226,Nairobi Depot,PMS,Coastline Energy Ltd,TRK-181,27900,4018541.2,4046436.7,04/06/2026 10:34
LD000227,Nairobi Depot,PMS,Kilele Fuels,TRK-143,21600,3145925.4,3167521.5,04/06/2026 18:10
LD000228,NAIROBI,PMS,Summit Downstream Ltd,TRK-920,29700,3009153.4,3038842.4,2026-06-04 06:04
LD000229,Nairobi Depot,PMS,Baraka Downstream,TRK-897,28600,2945429.9,2974037.0,04/06/2026 19:02
LD000230,Nairobi Depot,PMS,Baraka Downstream,TRK-479,20200,3393770.8,3413968.4,04/06/2026 06:38
LD000231,Nairobi Depot,AGO,Zenith Petroleum,TRK-765,29000,3864716.3,3893722.2,2026-06-04 09:33
LD000232,Nairobi,IK,Tsavo Energy Group,TRK-496,35300,2370097.0,2405398.8,04/06/2026 05:47
LD000233,NAIROBI,AGO,Crescent Oil Ltd,TRK-602,23600,2694387.4,2717991.5,2026-06-04 19:13
LD000234,Nairobi,PMS,Tsavo Energy Group,TRK-555,34600,1556464.8,1591057.3,04/06/2026 07:28
LD000235,Kisumu,AGO,Highland Energy Co,TRK-407,29800,1072440.7,1102249.6,2026-06-04 07:35
LD000236,Kisumu,AGO,Horizon Oil Marketers,TRK-911,34800,3828954.5,3863757.5,2026-06-04 21:14
LD000237,Ksm,AGO,Highland Energy Co,TRK-578,22400,3305153.4,3327546.7,2026-06-04 05:23
LD000238,Ksm,AGO,Coastline Energy Ltd,TRK-834,31800,4737468.1,4769277.5,04/06/2026 07:04
LD000239,Ksm,AGO,Pioneer Fuels Kenya,TRK-424,34800,2803357.5,2838170.2,2026-06-04 18:52
LD000240,Ksm,PMS,Baraka Downstream,TRK-898,26400,1219046.6,1245449.2,2026-06-04 21:22
LD000241,Kisumu,AGO,Amani Petroleum,TRK-156,25400,4211413.8,4236818.1,2026-06-04 09:27
LD000242,ELDORET,PMS,Nyanza Petroleum Co,TRK-631,25500,2387812.8,2413301.2,2026-06-04 10:20
